City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Rio Gallegos,AR,2021-12-04 08:55:49,-51.6226,-69.2181,48.25,66,0,6.91
172,Bara,NG,2021-12-04 08:55:50,10.3744,10.7288,82.18,19,4,10.31
173,Fayaoue,NC,2021-12-04 08:55:50,-20.65,166.5333,80.82,71,100,11.92
174,Longyearbyen,SJ,2021-12-04 08:55:50,78.2186,15.6401,35.44,64,75,28.77
175,Valparaiso,CL,2021-12-04 08:55:51,-33.0393,-71.6273,49.64,81,0,5.75
176,Virginia Beach,US,2021-12-04 08:54:36,36.8529,-75.978,50.0,86,1,3.44
177,Pyaozerskiy,RU,2021-12-04 08:55:51,65.8333,31.1667,13.86,83,53,10.45
178,Portree,GB,2021-12-04 08:55:52,57.4129,-6.1942,41.86,93,100,15.93
179,Kaspiyskiy,RU,2021-12-04 08:55:52,45.3929,47.3707,47.89,86,100,15.46
180,Upernavik,GL,2021-12-04 08:55:53,72.7868,-56.1549,5.45,70,60,8.14
181,Marienburg,PL,2021-12-04 08:56:53,54.0359,19.0266,35.11,89,98,12.91
182,Atasu,KZ,2021-12-04 08:56:53,48.6814,71.6433,23.95,83,51,5.75
183,Olafsvik,IS,2021-12-04 08:56:54,64.8945,-23.7142,36.86,74,53,8.39
184,Tadpatri,IN,2021-12-04 08:56:54,14.9167,78.0167,86.63,48,63,2.46
185,Micheweni,TZ,2021-12-04 08:56:54,-4.9667,39.8333,83.66,67,56,2.51
186,Waingapu,ID,2021-12-04 08:56:55,-9.6567,120.2641,85.21,67,76,5.91
187,Raquira,CO,2021-12-04 08:56:55,5.5379,-73.632,54.07,93,99,3.15
188,Bumba,CD,2021-12-04 08:56:56,2.1833,22.4667,85.06,59,70,2.75
189,Saint George,US,2021-12-04 08:47:06,37.1041,-113.5841,57.34,42,1,3.44
190,Khatanga,RU,2021-12-04 08:56:56,71.9667,102.5,-20.58,97,100,11.54
191,Rock Sound,BS,2021-12-04 08:56:57,24.9,-76.2,75.15,66,1,12.62
192,Kingston,JM,2021-12-04 08:56:58,17.997,-76.7936,80.2,90,100,1.01
193,Uga,NG,2021-12-04 08:56:58,5.9358,7.0793,84.96,63,95,2.71
194,Henties Bay,NA,2021-12-04 08:56:59,-22.116,14.2845,62.85,61,0,11.81
195,Ueckermunde,DE,2021-12-04 08:56:59,53.7379,14.0447,38.55,97,100,8.34
196,Carnarvon,AU,2021-12-04 08:56:59,-24.8667,113.6333,80.67,65,0,14.97
197,Khuzdar,PK,2021-12-04 08:57:00,27.7384,66.6434,65.44,19,0,3.6
198,Novodugino,RU,2021-12-04 08:57:00,55.6305,34.2842,22.89,86,94,13.0
199,Dwarka,IN,2021-12-04 08:54:29,22.2394,68.9678,79.65,44,0,10.11
200,Fort Nelson,CA,2021-12-04 08:57:01,58.8053,-122.7002,-18.81,83,75,0.0
201,Coquimbo,CL,2021-12-04 08:57:01,-29.9533,-71.3436,55.13,87,0,3.44
202,Muros,ES,2021-12-04 08:57:02,42.7762,-9.0603,56.23,94,33,10.92
203,Hambantota,LK,2021-12-04 08:57:02,6.1241,81.1185,84.54,89,75,5.75
204,Sakakah,SA,2021-12-04 08:57:02,29.9697,40.2064,63.97,31,78,10.8
205,Wadi Maliz,TN,2021-12-04 08:55:15,36.4681,8.5495,52.25,63,74,12.71
206,Raudeberg,NO,2021-12-04 08:57:03,61.9875,5.1352,37.87,74,97,11.01
207,Sao Felix Do Xingu,BR,2021-12-04 08:54:08,-6.6447,-51.995,70.61,99,100,1.21
208,Kathu,TH,2021-12-04 08:57:04,7.9178,98.3332,85.82,70,46,8.39
209,Bredasdorp,ZA,2021-12-04 08:57:04,-34.5322,20.0403,67.28,63,100,17.25
210,Altay,CN,2021-12-04 08:57:04,47.8667,88.1167,25.3,80,11,4.18
211,Castro,BR,2021-12-04 08:57:05,-24.7911,-50.0119,56.53,91,75,7.78
212,Guasdualito,VE,2021-12-04 08:57:05,7.2424,-70.7324,73.4,100,100,2.3
213,Ossora,RU,2021-12-04 08:57:06,59.2353,163.0719,20.75,92,100,10.0
214,Moree,AU,2021-12-04 08:57:06,-29.4667,149.85,84.22,24,92,20.71
215,Scarborough,GB,2021-12-04 08:57:07,54.2797,-0.4044,40.08,87,96,5.01
216,Tereze,RU,2021-12-04 08:57:07,43.9361,42.4434,37.9,33,7,5.75
217,Kerman,IR,2021-12-04 08:57:07,30.2832,57.0788,51.66,50,20,4.61
218,Phan Thiet,VN,2021-12-04 08:57:08,10.9333,108.1,75.61,72,49,6.76
219,Keningau,MY,2021-12-04 08:57:08,5.3378,116.1602,80.74,96,100,3.18
220,Pisco,PE,2021-12-04 08:54:50,-13.7,-76.2167,64.45,88,100,4.61
221,Boa Vista,BR,2021-12-04 08:57:09,2.8197,-60.6733,75.18,83,0,5.75
222,Banepa,NP,2021-12-04 08:57:09,27.6298,85.5214,70.12,53,20,6.91
223,High Level,CA,2021-12-04 08:57:09,58.5169,-117.136,-12.89,84,75,8.05
224,Hithadhoo,MV,2021-12-04 08:57:10,-0.6,73.0833,81.72,78,62,11.23
225,Dzhebariki-Khaya,RU,2021-12-04 08:57:10,62.2167,135.8,-43.49,95,15,2.28
226,Vila Velha,BR,2021-12-04 08:57:11,-20.3297,-40.2925,69.94,94,40,2.3
227,Bethel,US,2021-12-04 08:57:11,41.3712,-73.414,35.22,75,14,1.61
228,Butaritari,KI,2021-12-04 08:58:12,3.0707,172.7902,83.14,76,34,15.95
229,Kedrovyy,RU,2021-12-04 08:58:12,56.1667,91.8167,28.87,93,100,14.03
230,Ust-Tsilma,RU,2021-12-04 08:58:12,65.441,52.1498,-12.1,100,98,3.89
231,Mount Gambier,AU,2021-12-04 08:58:13,-37.8333,140.7667,58.91,63,75,13.8
232,Wajima,JP,2021-12-04 08:58:13,37.4,136.9,38.08,93,75,5.75
233,Gizo,SB,2021-12-04 08:54:12,-8.103,156.8419,83.55,76,99,7.09
234,Nemuro,JP,2021-12-04 08:58:14,43.3236,145.575,32.43,61,68,13.91
235,Tura,IN,2021-12-04 08:58:14,25.5198,90.2201,74.84,56,100,4.56
236,Road Town,VG,2021-12-04 08:58:14,18.4167,-64.6167,79.0,75,13,16.64
237,Along,IN,2021-12-04 08:58:15,28.1667,94.7667,77.36,48,94,0.76
238,Helong,CN,2021-12-04 08:58:15,42.5397,128.9972,8.8,87,4,6.29
239,Davila,PH,2021-12-04 08:58:16,18.4726,120.5763,78.78,73,81,28.14
240,Pangnirtung,CA,2021-12-04 08:58:16,66.1451,-65.7125,17.1,83,100,7.25
241,Buluang,PH,2021-12-04 08:58:16,13.3068,123.3425,75.76,78,87,8.23
242,Zwedru,LR,2021-12-04 08:58:17,6.0667,-8.1281,81.16,72,97,2.24
243,Bambous Virieux,MU,2021-12-04 08:55:09,-20.3428,57.7575,86.25,62,40,14.97
244,Chabahar,IR,2021-12-04 08:58:17,25.2919,60.643,77.97,56,0,10.07
245,George,ZA,2021-12-04 08:58:18,-33.963,22.4617,65.75,68,20,10.36
246,Mabaruma,GY,2021-12-04 08:58:18,8.2,-59.7833,70.25,99,86,2.08
247,Benguela,AO,2021-12-04 08:58:19,-12.5763,13.4055,79.74,78,99,5.19
248,Prince Rupert,CA,2021-12-04 08:58:19,54.3161,-130.3201,37.09,90,90,0.0
249,Isangel,VU,2021-12-04 08:58:19,-19.55,169.2667,77.95,86,99,9.69
250,Morant Bay,JM,2021-12-04 08:58:20,17.8815,-76.4093,80.65,83,100,12.55
251,Nalut,LY,2021-12-04 08:58:20,30.3333,10.85,47.95,51,0,11.48
252,Ostrovnoy,RU,2021-12-04 08:58:21,68.0531,39.5131,14.99,92,96,4.32
