City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
214,Hamilton,US,39.1834,-84.5333,61.99,93,90,5.01,overcast clouds
215,Epe,NG,6.5841,3.9834,75.97,93,19,2.71,few clouds
216,Mokhotlong,LS,-29.2894,29.0675,59.02,53,62,22.24,broken clouds
217,Ishim,RU,56.1128,69.4902,19.76,93,100,3.6,overcast clouds
218,Severo-Yeniseyskiy,RU,60.3725,93.0408,14.22,95,100,1.9,light snow
219,Nikolskoye,RU,59.7035,30.7861,-3.6,96,9,4.7,clear sky
220,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,21.85,clear sky
221,Torbay,CA,47.6666,-52.7314,30.67,79,40,14.97,scattered clouds
222,Almenara,BR,-16.1836,-40.6944,68.68,100,38,1.36,light rain
223,Laguna,US,38.421,-121.4238,52.65,96,1,0.0,mist
224,Teguise,ES,29.0605,-13.564,61.02,68,20,17.27,few clouds
225,Haverfordwest,GB,51.8017,-4.9691,46.35,93,100,1.99,light rain
226,Lazaro Cardenas,MX,17.9583,-102.2,75.25,87,79,3.44,broken clouds
227,Ambanja,MG,-13.6833,48.45,85.89,57,10,0.58,clear sky
228,Valparaiso,CL,-33.0393,-71.6273,56.5,94,14,5.55,few clouds
229,Guerrero Negro,MX,27.9769,-114.0611,61.14,89,0,9.64,clear sky
230,Bontang,ID,0.1333,117.5,83.91,69,100,6.96,overcast clouds
231,Bambous Virieux,MU,-20.3428,57.7575,83.21,65,40,13.8,scattered clouds
232,Glace Bay,CA,46.1969,-59.957,28.78,80,40,3.0,scattered clouds
233,Te Anau,NZ,-45.4167,167.7167,51.31,71,92,4.54,overcast clouds
234,Sokoto,NG,13.0609,5.239,66.29,18,68,9.6,broken clouds
235,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,74,75,15.01,broken clouds
236,Lagoa,PT,39.05,-27.9833,62.73,78,88,13.24,overcast clouds
237,Deputatskiy,RU,69.3,139.9,-20.79,99,100,0.81,overcast clouds
238,Upington,ZA,-28.4478,21.2561,61.18,67,20,8.05,few clouds
239,Mayya,RU,61.7333,130.2811,-27.69,100,99,1.28,overcast clouds
240,Itarema,BR,-2.9248,-39.9167,81.28,75,22,15.9,few clouds
241,Zhangye,CN,38.9342,100.4517,41.59,28,53,4.72,broken clouds
242,Tabou,CI,4.423,-7.3528,78.39,86,50,7.23,light rain
243,Saint-Augustin,CA,51.226,-58.6502,18.95,67,5,9.31,clear sky
244,Alexandria,EG,31.2156,29.9553,62.56,82,40,2.3,scattered clouds
245,Pampa,US,35.5362,-100.9599,37.44,52,1,25.32,clear sky
246,Jawhar,SO,2.7809,45.5005,82.58,57,5,13.06,clear sky
247,Mansa,IN,29.9833,75.3833,73.83,37,0,6.53,clear sky
248,Eregli,TR,37.5133,34.0467,44.76,55,0,2.26,clear sky
249,Caravelas,BR,-17.7125,-39.2481,72.37,92,3,4.99,clear sky
250,Puerto Narino,CO,-3.7703,-70.3831,76.95,99,98,2.17,overcast clouds
251,Ardabil,IR,38.2498,48.2933,40.55,65,75,13.8,broken clouds
252,Behshahr,IR,36.6923,53.5526,53.55,38,47,9.17,scattered clouds
253,Clyde River,CA,70.4692,-68.5914,10.63,85,100,23.02,light snow
254,Tuatapere,NZ,-46.1333,167.6833,55.81,59,93,7.54,overcast clouds
255,Kapit,MY,2.0167,112.9333,78.62,88,98,2.95,overcast clouds
256,Doha,QA,25.2867,51.5333,69.78,54,0,5.75,clear sky
257,Birao,CF,10.2849,22.7882,74.55,18,93,10.56,overcast clouds
258,Balykshi,KZ,47.0667,51.8667,35.6,87,75,6.71,mist
259,Parrita,CR,9.5201,-84.3225,82.17,83,19,4.63,few clouds
260,Portland,US,45.5234,-122.6762,42.78,91,90,3.0,overcast clouds
261,Alibag,IN,18.6411,72.8792,86.07,67,0,7.18,clear sky
262,Castro,BR,-24.7911,-50.0119,60.35,97,81,2.73,broken clouds
263,Erenhot,CN,43.6475,111.9767,26.82,65,3,9.17,clear sky
264,Banjarmasin,ID,-3.3244,114.591,77.14,89,100,6.4,light rain
265,Aksarka,RU,66.5606,67.7975,-8.1,87,99,13.53,overcast clouds
266,Finschhafen,PG,-6.6024,147.8681,84.97,72,94,4.34,overcast clouds
267,Airai,TL,-8.9266,125.4092,73.35,68,91,2.15,heavy intensity rain
268,Soto La Marina,MX,23.7667,-98.2167,74.77,86,100,8.68,overcast clouds
269,Blackwater,AU,-23.5833,148.8833,86.61,44,99,6.26,overcast clouds
270,Pisco,PE,-13.7,-76.2167,66.25,82,0,10.36,light rain
271,Baykit,RU,61.67,96.37,-0.81,89,100,2.04,overcast clouds
272,Margate,GB,51.3813,1.3862,39.31,96,100,5.66,overcast clouds
273,Bonthe,SL,7.5264,-12.505,78.37,85,73,2.64,light rain
274,Praia,CV,14.9215,-23.5087,72.14,78,56,17.27,broken clouds
275,Martapura,ID,-3.4167,114.85,77.09,94,75,11.5,moderate rain
276,Arroyo,ES,41.6096,-4.7969,39.6,88,0,6.91,clear sky
277,Georgiyevka,KZ,43.0369,74.7114,37.44,100,90,8.95,fog
278,Kismayo,SO,-0.3582,42.5454,83.61,65,21,10.29,few clouds
279,Saldanha,ZA,-33.0117,17.9442,60.85,85,98,16.11,overcast clouds
280,Aklavik,CA,68.2191,-135.0107,5.72,89,64,9.46,broken clouds
281,Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.92,96,98,1.86,overcast clouds
282,Puerto Escondido,MX,15.85,-97.0667,77.63,77,0,4.5,clear sky
283,Ancud,CL,-41.8697,-73.8203,58.42,81,0,2.08,clear sky
284,Vestmannaeyjar,IS,63.4427,-20.2734,42.31,61,32,12.84,scattered clouds
285,Nalgonda,IN,17.05,79.2667,83.53,42,6,7.58,clear sky
286,Gambela,ET,8.25,34.5833,86.05,36,13,2.55,few clouds
287,Barcelos,PT,41.5388,-8.6151,50.29,86,70,3.27,broken clouds
